Formula,S,Sclass,Ea,Paper,a,c,a/c,h,d,Vcalc,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,D1volperatom,D2volperatom,D3volperatom,D1vol,D2vol,D3vol,Zr,Na,Sn,Ge,PO4,V,Mg,Mn,Fe,Al,Ni,Cr,SiO4,Ti,Sc,Hf,In,D1eneg,D2eneg,D3eneg,
Na3MgZr(PO4)3,1.00E-06,1,0.4,T6,8.906,22.467,0.396403614,12.59498599,25.75654793,1543.267103,1.02,0.86,0.86,3.06,0.86,1.33,4.445173921,2.664302892,9.854694497,13.33552176,2.664302892,9.854694497,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0.93,1.31,1.33,Na3MgZr(PO4)3
Na3MnZr(PO4)3,1.80E-06,1,0.38,T6,8.98,22.594,0.397450651,12.69963779,25.91851917,1577.888931,1.02,0.72,0.86,3.06,0.72,1.33,4.445173921,1.563456246,9.854694497,13.33552176,1.563456246,9.854694497,1,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0.93,1.55,1.33,Na3MnZr(PO4)3
Na3V2(PO4)3,3.00E-08,0,0.871,T5,8.729,21.8302,0.399858911,12.34467019,25.07884595,1440.513502,1.02,0.72,0.68,3.06,0.72,0.72,4.445173921,1.563456246,1.563456246,13.33552176,1.563456246,1.563456246,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.93,1.63,1.63,Na3V2(PO4)3
Na3V1.9Fe0.1(PO4)3,2.00E-06,1,0.487,T5,8.7412,21.792,0.401119677,12.36192359,25.05410982,1442.015193,1.02,0.72,0.69,3.06,1.368,0.069,4.445173921,1.563456246,1.376054119,13.33552176,2.970566867,0.137605412,0,3,0,0,3,1.9,0,0,0.1,0,0,0,0,0,0,0,0,0.93,1.63,1.83,Na3V1.9Fe0.1(PO4)3
Na3V1.9Al0.1(PO4)3,1.00E-07,0,0.777,T5,8.7233,21.78824,0.400367354,12.33660917,25.03835714,1435.86761,1.02,0.72,0.675,3.06,1.368,0.072,4.445173921,1.563456246,1.288248249,13.33552176,2.970566867,0.128824825,0,3,0,0,3,1.9,0,0,0,0.1,0,0,0,0,0,0,0,0.93,1.63,1.61,Na3V1.9Al0.1(PO4)3
Na3.1V1.9Ni0.1(PO4)3,1.20E-06,1,0.56,T5,8.7432,21.79113,0.401227472,12.36475202,25.05474884,1442.617543,1.02,0.72,0.62,3.06,1.368,0.072,4.445173921,1.563456246,0.998305149,13.33552176,2.970566867,0.099830515,0,3,0,0,3,1.9,0,0,0,0,0.1,0,0,0,0,0,0,0.93,1.63,1.91,Na3.1V1.9Ni0.1(PO4)3
Na3V1.9Cr0.1(PO4)3,4.00E-08,0,0.85,T5,8.7424,21.78684,0.401269757,12.36362065,25.05045933,1442.069602,1.02,0.72,0.755,3.06,1.368,0.072,4.445173921,1.563456246,1.376054119,13.33552176,2.970566867,0.137605412,0,3,0,0,3,1.9,0,0,0,0,0,0.1,0,0,0,0,0,0.93,1.63,1.66,Na3V1.9Cr0.1(PO4)3
Na1.2Zr1.8Fe0.2(PO4)3,2.54E-06,1,0.093,T10,8.835,22.782,0.387806163,12.49457682,25.98334031,1540.052716,1.02,0.86,0.69,1.224,1.548,0.138,4.445173921,2.664302892,1.376054119,5.334208705,4.795745206,0.275210824,1.8,1.2,0,0,3,0,0,0,0.2,0,0,0,0,0,0,0,0,0.93,1.33,1.83,Na1.2Zr1.8Fe0.2(PO4)3
Na3.4Sc2(SiO4)0.4(PO4)2.6 ,4.00E-03,1,0.34,T11,8.982,22.2,0.404594595,12.70246622,25.57719,1551.063963,1.02,0.885,0.885,3.468,0.885,0.885,4.445173921,2.903474757,2.903474757,15.11359133,2.903474757,2.903474757,0,3.4,0,0,2.6,0,0,0,0,0,0,0,0.4,0,2,0,0,0.93,1.36,1.36,Na3.4Sc2(SiO4)0.4(PO4)2.6 
Na2.0Mg0.5Zr1.5(PO4)3,9.60E-06,1,,YONG,8.868,22.875,0.387672131,12.54124587,26.08732399,1557.912649,1.02,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.31,1.33,Na2.0Zr1.5Mg0.5(PO4)3
Na2.4Mg0.7Zr1.3(PO4)3,1.40E-05,1,,YONG,8.878,22.891,0.387838015,12.55538801,26.10815292,1562.520336,1.02,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.31,1.33,Na2.4Zr1.3Mg0.7(PO4)3
Na1.5Nb0.3Zr1.5(PO4)3,6.20E-07,0,,VERILISSMO,8.8061,22.7639,0.386844961,12.45370605,25.94783108,1528.77836,1.02,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.6,1.33,Na1.5Nb0.3Zr1.5(PO4)3
Na1.8Yb0.8Zr1.2(PO4)3,1.58E-03,1,,DELMAS,8.92,22.8,0.39122807,12.61478498,26.05710652,1571.06874,1.02,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.1,1.33,Na1.8Yb0.8Zr1.2(PO4)3
Na2In1.0Zr1.0(PO4)3,3.16E-04,1,,DELMAS,8.9,22.5,0.395555556,12.58650071,25.7811947,1543.452125,1.02,0.94,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.78,1.33,Na2In1.0Zr1.0(PO4)3
Na2YbZr1.0(PO4)3,3.55E-03,1,,DELMAS,8.99,22.75,0.395164835,12.71377993,26.06151761,1592.323909,1.02,1.008,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.1,1.33,Na2YbZr1.0(PO4)3
Na2Mg0.5Zr1.5(PO4),3.98E-04,1,,CHERKAOJI,8.85,22.55,0.392461197,12.51579003,25.79045366,1529.550144,1.02,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.31,1.33,Na2Mg0.5Zr1.5(PO4)
Na3Mg1.0Zr1.0(PO4)3,0.001584893,1,,CHERKAOJI,8.9,22.38,0.397676497,12.58650071,25.67653403,1535.220381,1.02,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.31,1.33,Na3Mg1.0Zr1.0(PO4)3
Na3.4Mg0.4Cr1.6(PO4)3,0.015848932,1,,Cherkaoji n Delmas,8.72,21.7,0.401843318,12.33194226,24.95930287,1428.970738,1.02,0.86,0.755,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.31,1.66,Na3.4Mg0.4Cr1.6(PO4)3
Na3.65Mg0.65Cr1.35(PO4)3,0.006309573,1,,Cherkaoji n Delmas,8.77,21.6,0.406018519,12.40265294,24.90754504,1438.744146,1.02,0.86,0.755,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.93,1.31,1.66,Na3.65Mg0.65Cr1.35(PO4)3
LiTi2(PO4)3,3.60E-08,0,,Li1,8.496,20.87,0.407091519,12.01515843,24.08154754,1304.614161,0.73,0.745,0.745,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.54,LiTi2(PO4)3
Li1.3AL0.3Ti1.7(PO4)3,3.40E-07,0,,Li1,8.49,20.85,0.407194245,12.00667314,24.05998129,1301.523672,0.73,0.745,0.675,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.61,Li1.3AL0.3Ti1.7(PO4)3
LiZr2(PO4)3,1.00E-05,1,,Li2,8.86,22.07,0.401449932,12.52993216,25.37881203,1500.377037,0.73,0.86,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,1.33,LiZr2(PO4)3
